,Water_Runoff,Coastal,Landslide,Storm_Surface,Riverine,Precipitation,Evapotranspiration,Skin_Reservoir,Evaporation,Soil_Temperature,Radiative_Temperature,Soil_Water,LeafArea,Soil_Level,Latent_Heat,Soil_Level,Soil_Heat,Wind_Speed,Soil_Moisture,Surface_Pressure,Vapor_Pressure,Groundwater_Runoff,Sensible_Heat,Humidity,Dew,Density,Heatwave,Water_Deficit,Surface_Air,Temperature,Food,Battles,Explosions/Remote violence,Protests,Riots,Strategic developments,Violence against civilians,total_event_types,"fatalities, Battles","fatalities, Explosions/Remote violence","fatalities, Protests","fatalities, Riots","fatalities, Strategic developments","fatalities, Violence against civilians","total_fatalities, "
0,-9.785743,13.071511,-29.065561,-4.913549,6.5748677,3.0725582,-5.588446,-2.0968266,3.8770773,-5.948453,0.9973793,2.913165,-7.723192,-5.2873106,-10.494808,-5.2873106,-11.066824,-0.5581693,8.208737,-10.066192,12.08174,3.2697365,-4.5783176,11.59821,4.5830455,-152.19902,18.577457,-6.7418246,-4.564607,-4.090545,-7.880719e+36,0,0,4,0,0,2,6,0,0,0,0,0,2,2
1,-4.4510584,4.962664,-23.626535,9.772707,0.8077473,8.971795,-1.8915664,-8.279265,5.5052295,-0.5746308,3.2797055,5.81666,0.33624583,1.4582133,-4.301021,1.4582133,4.8641653,7.7866898,-1.5500013,0.43695402,-4.797209,-5.7044935,-1.9022459,2.0154932,2.30719,-161.5015,-4.089179,-1.6862999,1.7004261,2.2904122,-7.880719e+36,6,4,0,0,1,2,13,3,5,0,0,0,1,9
2,-11.909466,11.71239,-29.582335,0.864251,6.113179,4.0523524,-4.9888983,-0.58570385,3.359438,-5.382941,2.1645527,2.3207512,-7.69058,-3.4992101,-11.1792345,-3.4992101,-12.173788,-2.3019164,-12.775447,-4.481901,-8.562257,4.8705063,-3.7523248,-1.4040657,4.0245695,-150.5789,19.041609,-3.9687386,-1.6826092,-3.2518854,-7.880719e+36,10,36,1,0,7,7,61,31,30,0,0,0,9,70
3,7.758137,15.811904,-16.693804,7.044371,10.137346,-7.126973,3.069797,4.485955,-6.747284,6.822594,10.565229,-6.8240156,11.223374,9.457995,-2.5205357,9.457995,-0.21117957,2.4376838,4.177406,8.717208,7.169052,10.9859085,6.1273236,-6.695104,-3.8425517,-147.19386,-7.609262,7.8247857,9.714209,8.119581,-7.880719e+36,0,1,2,0,1,0,4,0,2,0,0,0,0,2
4,-6.7433143,-8.275314,-28.289974,-6.07418,-9.680875,6.680084,-7.311238,-8.077782,4.4870563,-10.362889,-6.24882,1.274628,4.7416277,-4.9364824,-9.59447,-4.9364824,10.050441,-8.056935,-3.1783688,-7.056735,-4.4039803,-8.238238,-0.1365576,4.2835712,7.55586,-150.89548,1.0236858,-7.4573503,-9.680089,-6.6961093,-7.880719e+36,4,5,3,13,2,5,32,4,0,0,1,0,3,8
5,1.7400551,6.740495,-21.830488,-2.7410185,2.5951731,-2.4747038,0.41000652,1.8187288,1.3145096,0.41460493,4.333052,3.8321068,5.7122135,1.910861,0.06567798,1.910861,5.250528,-2.6161473,-1.1713496,1.6172769,-0.19792235,-4.0102406,2.7768848,10.02373,2.4254694,-155.9992,-3.598588,3.4641504,2.8862267,2.7704,-7.880719e+36,5,8,0,0,1,2,16,2,17,0,0,0,6,25
6,-2.2902644,2.4747715,-29.130495,-5.7779517,-3.6702378,-2.6844242,-12.116137,-0.333736,2.127044,-8.585918,-6.569069,3.8480446,6.031528,-2.2353692,-15.131044,-2.2353692,8.501045,-6.755918,-6.591032,-6.6965218,-5.8209743,-8.760832,0.8621105,1.4374667,-0.15929197,-161.43361,0.66641116,-1.770695,-9.563733,-7.2600217,-7.880719e+36,7,0,1,1,1,3,13,8,0,0,0,0,3,11
7,-7.294368,3.6880739,106.088585,-2.1597095,-3.3072731,5.4861007,-11.450588,-1.9069145,-10.147195,-7.7251253,-4.5634375,2.6561077,1.7326502,3.1168365,-13.131139,3.1168365,-8.082701,-7.3554745,-11.019774,-8.21571,-7.6274815,2.2003968,-4.2686653,7.9986043,-0.92629796,-151.20602,-3.7808168,-5.4420953,-6.931028,-9.51335,-7.880719e+36,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8,-2.166367,1.033683,-23.287981,3.0466406,-0.12782964,-1.6603496,-1.3373083,-7.941657,5.1857743,0.005793673,3.8976126,7.654895,1.0363371,1.5035338,-4.357931,1.5035338,6.0609484,7.7862244,-1.3804386,1.06156,-0.222292,-4.6766143,2.702974,8.003604,2.4069738,-161.18039,-4.140524,-10.941128,2.1600246,2.5263991,-7.880719e+36,13,18,0,0,4,3,38,28,22,0,0,0,5,55
9,-10.800053,12.542763,-29.126036,-9.381253,-13.454035,7.358304,-9.815697,-4.291813,9.974631,-3.5640352,-0.053074125,-0.4340694,3.828386,3.5653825,-9.567521,3.5653825,-4.377555,-3.6320457,-11.1954365,-2.71053,-2.0900035,0.42165518,0.71786493,-1.434845,12.5482235,-143.67377,11.217255,-5.495936,0.78850603,0.97700053,-4.875715e+21,8,2,0,0,2,0,12,8,0,0,0,0,0,8
